,player,last,01-05-20,01-12-20,01-19-20,01-26-20,02-02-20,02-09-20,02-16-20,02-22-20,02-23-20,03-01-20,03-08-20,06-14-20,06-21-20,06-28-20,07-05-20,07-12-20,07-19-20,07-25-20,08-09-20,08-16-20,08-23-20,08-30-20,09-07-20,09-13-20,09-20-20,09-27-20,10-04-20,10-11-20,10-18-20,10-25-20,11-01-20,11-08-20,11-15-20,11-22-20,12-06-20,01-10-21,01-17-21,01-24-21,01-30-21,02-07-21,02-14-21,02-21-21,02-27-21,02-28-21,03-07-21,03-14-21,03-21-21,03-28-21,04-04-21,04-11-21,04-18-21,05-02-21,05-09-21,05-16-21,Unnamed: 0,05-23-21,05-30-21
0,Brad Adamonis,Adamonis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
1,Robert Allenby,Allenby,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
2,Abraham Ancer,Ancer,,71.0,99.0,,,,63.0,,83.0,,20.0,81.0,99.0,85.0,,,23.0,,47.0,,0.0,54.0,57.0,,10.0,,,95.0,65.0,56.0,,,80.0,,85.0,57.0,0.0,94.0,,,,0.0,,73.0,,84.0,,,82.0,67.0,84.0,97.0,98.0,,7.0,92.0,86.0
3,Mark Anderson,Anderson,,83.0,,79.0,,0.0,,74.0,,57.0,,,,,10.0,0.0,,0.0,,0.0,,,,52.0,,14.0,0.0,,,,63.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,51.0,,,,,66.0,,,,,,60.0,,,
4,Mark Anguiano,Anguiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
5,Kiradech Aphibarnrat,Aphibarnrat,,,,,0.0,0.0,0.0,74.0,,0.0,,,,,,,,,,0.0,,,,0.0,,7.0,0.0,,,,85.0,,,,0.0,,,,,,0.0,,0.0,,,,53.0,0.0,0.0,,,0.0,,0.0,,,
6,Ryan Armour,Armour,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,3.0,93.0,96.0,0.0,,0.0,,69.0,0.0,,,0.0,,0.0,32.0,0.0,,,90.0,0.0,,0.0,0.0,,75.0,79.0,,0.0,69.0,0.0,,,,63.0,59.0,,0.0,,0.0,0.0,0.0,81.0,,,
7,Arjun Atwal,Atwal,,,,,,0.0,,57.0,,0.0,,,,,37.0,,,24.0,,0.0,,,,,,7.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,
8,John Augenstein,Augenstein,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,10.0,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,0.0,0.0,,,161.0,,79.0
9,Michael Auterson,Auterson,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Eric Axley,Axley,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
11,Aaron Baddeley,Baddeley,,,0.0,58.0,68.0,82.0,0.0,,,,,,0.0,0.0,0.0,0.0,,68.0,,0.0,,,,0.0,,0.0,0.0,,,,0.0,,,14.0,0.0,,70.0,0.0,0.0,,0.0,,76.0,,,,,62.0,,,,0.0,,0.0,,,
12,Sangmoon Bae,Bae,,,,,,,,67.0,,,,,,,,,,0.0,,,,,,0.0,,64.0,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,49.0,,,,,,,,,
13,Chris Baker,Baker,,0.0,0.0,52.0,,72.0,,0.0,,69.0,,,,,37.0,,,41.0,,75.0,,,,0.0,,0.0,0.0,,,,0.0,,,0.0,59.0,,59.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,0.0,,,
14,Daniel Balin,Balin,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,0.0,
15,Shintaro Ban,Ban,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Paul Barjon,Barjon,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,54.0,,,,,0.0,,,,,,,,,
17,Ricky Barnes,Barnes,,,0.0,,,0.0,,0.0,,,,,,,0.0,,,0.0,,,,,,70.0,,46.0,,,,,9.0,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,0.0,,,
18,Erik Barnes,Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,
